Year,Team,G,P,Opposition,G,P,Diff
1981,Cork,3,10,Galway,0,14,5
1981,Cork,6,13,Waterford,1,9,19
1981,Cork,4,12,Wexford,1,7,14
1980,Cork,4,15,Limerick,4,6,9
1980,Cork,2,10,Limerick,2,10,0
1980,Cork,1,12,Galway,0,12,3
1980,Cork,2,9,Offaly,1,10,2
1980,Cork,1,12,Galway,0,5,10
1980,Cork,0,10,Limerick,0,11,-1
1980,Cork,1,5,Kilkenny,0,4,4
1980,Cork,1,6,Tipperary,1,10,-4
1980,Cork,3,15,Clare,3,7,8
1979,Cork,2,11,Limerick,2,12,-1
1979,Cork,3,13,Carlow,0,5,17
1979,Cork,1,10,Tipperary,2,11,-4
1979,Cork,1,11,Antrim,0,10,4
1979,Cork,4,11,Dublin,2,11,6
1979,Cork,0,18,Kildare,1,8,7
1979,Cork,5,11,Laois,3,5,12
1978,Cork,0,9,Offaly,1,9,-3
1978,Cork,1,4,Galway,2,12,-11
1978,Cork,1,15,Wexford,0,9,9
1978,Cork,2,6,Offaly,3,4,-1
1978,Cork,2,9,Tipperary,2,7,2
1978,Cork,1,2,Kilkenny,1,6,-4
1978,Cork,1,19,Clare,0,11,11
1978,Cork,1,10,Galway,2,10,-3
1977,Cork,1,10,Limerick,1,8,2
1977,Cork,4,8,Wexford,2,15,-1
1977,Cork,0,11,Dublin,1,7,1
1977,Cork,1,5,Clare,1,9,-4
1977,Cork,3,8,Tipperary,3,9,-1
1977,Cork,2,8,Limerick,1,10,1
1977,Cork,1,8,Kilkenny,3,10,-8
1976,Cork,3,10,Kilkenny,2,17,-4
1976,Cork,2,11,Kilkenny,3,8,0
1976,Cork,1,7,Galway,1,11,-4
1976,Cork,1,11,Kilkenny,0,12,2
1976,Cork,1,10,Wexford,3,7,-3
1976,Cork,4,14,Dublin,2,6,14
1976,Cork,2,10,Clare,0,9,7
1976,Cork,4,16,Tipperary,2,6,16
1975,Cork,2,4,Galway,2,7,-3
1975,Cork,4,9,Wexford,2,7,8
1975,Cork,2,5,Dublin,1,15,-7
1975,Cork,1,14,Kilkenny,2,9,2
1975,Cork,1,10,Clare,3,6,-2
1975,Cork,4,7,Waterford,1,2,14
1975,Cork,2,7,Limerick,1,7,3
1975,Cork,2,9,Tipperary,2,9,0
1974,Cork,6,15,Limerick,1,12,18
1974,Cork,0,18,Dublin,1,11,4
1974,Cork,1,8,Waterford,0,9,2
1974,Cork,2,4,Limerick,0,10,0
1974,Cork,2,12,Tipperary,1,12,3
1974,Cork,7,12,Clare,3,7,17
1974,Cork,3,9,Kilkenny,1,12,3
1974,Cork,1,12,Galway,0,10,5
1974,Cork,2,9,Wexford,1,14,-2
1973,Cork,1,7,Limerick,3,13,-12
1973,Cork,3,8,Offaly,1,10,4
1973,Cork,1,7,Wexford,1,9,-2
1973,Cork,1,4,Tipperary,2,7,-6
1973,Cork,1,9,Clare,3,4,-1
1973,Cork,1,7,Kilkenny,1,11,-4
1973,Cork,5,11,Galway,0,12,14
1972,Cork,3,14,Limerick,2,14,3
1972,Cork,5,12,Tipperary,4,8,7
1972,Cork,4,12,Galway,1,5,16
1972,Cork,6,6,Offaly,1,3,18
1972,Cork,7,3,Limerick,5,8,1
1972,Cork,3,8,Dublin,4,7,-2
1972,Cork,1,9,Tipperary,1,11,-2
1972,Cork,5,7,Clare,5,7,0
1972,Cork,2,8,Kilkenny,2,18,-10
1972,Cork,6,7,Wexford,3,8,8
1971,Cork,2,10,Tipperary,2,12,-2
1971,Cork,3,9,Offaly,0,15,3
1971,Cork,4,7,Limerick,2,13,0
1971,Cork,4,7,Tipperary,0,17,2
1971,Cork,2,8,Galway,2,6,2
1971,Cork,1,16,Wexford,3,6,4
1971,Cork,3,6,Dublin,3,12,-6
1971,Cork,1,14,Kilkenny,2,10,1
1970,Cork,1,10,New York,2,8,-1
1970,Cork,4,11,New York,4,8,3
1970,Cork,2,17,Limerick,0,7,16
1970,Cork,2,10,Tipperary,2,7,3
1970,Cork,3,17,Dublin,4,9,5
1970,Cork,6,11,Clare,2,10,13
1970,Cork,4,11,Galway,1,7,13
1970,Cork,1,6,Limerick,3,11,-11
1969,Cork,3,12,Wexford,1,14,4
